Version,Entry.number,Entry.status,Device_Type.name,Device_Model.manufacturer_identifier,Device_Model.model_identifier,Device_Model.hardware_version.version,Device_Model.hardware_version.revision,Device_Model.model_identifier_concatenated_with_hardware_version,Device_Model.firmware_version,SMETS_CHTS Version.Version_number_and_effective_date,GBCS Version.version_number,Manufacturer_Image.hash
Version 2.051 Issued on 21-09-2022,1,Current,Communications Hub,106C,4331,0,AC,433100AC,124074DA,"CHTS V1.0 ","GBCS Version 1.0 ",137ED5BC81A21F6D2187BC380381AEA7705BF65D3E4DAEA28EFD44113079D5E9
Version 2.051 Issued on 21-09-2022,2,Current,Communications Hub,1086,5431,NaN,52,54311F52,000A6900,"CHTS V1.0 ","GBCS Version 1.0 ",
Version 2.051 Issued on 21-09-2022,3,Current,Communications Hub,1086,5432,20,52,54322052,000A6900,"CHTS V1.0 ","GBCS Version 1.0 ",
Version 2.051 Issued on 21-09-2022,4,Current,Communications Hub,1086,5433,21,52,54332152,000A6900,"CHTS V1.0 ","GBCS Version 1.0 ",
Version 2.051 Issued on 21-09-2022,5,Current,Communications Hub,106C,4331,0,AC,433100AC,1220665A,"CHTS V1.0 ","GBCS Version 1.0 ",BD98870B099252CFD3FC6299630624A3D75C54125493E07659AE7B66AE8DC05D
Version 2.051 Issued on 21-09-2022,6,Current,Communications Hub,1086,5431,NaN,52,54311F52,000A7100,"CHTS V1.0 ","GBCS Version 1.0 ",7D0A4EFC6D236E6F0F12BBB0B7F8F89CAA94D1353358835991E0CE6CBBF34365
Version 2.051 Issued on 21-09-2022,7,Removed,Communications Hub,1086,5433,21,52,54332152,000A7100,"CHTS V1.0 ","GBCS Version 1.0 ",7D0A4EFC6D236E6F0F12BBB0B7F8F89CAA94D1353358835991E0CE6CBBF34365
Version 2.051 Issued on 21-09-2022,8,Current,Communications Hub,1086,5432,20,52,54322052,000A7100,"CHTS V1.0 ","GBCS Version 1.0 ",7D0A4EFC6D236E6F0F12BBB0B7F8F89CAA94D1353358835991E0CE6CBBF34365
Version 2.051 Issued on 21-09-2022,9,Current,Communications Hub,1086,5431,NaN,52,54311F52,000A7200,"CHTS V1.0 ","GBCS Version 1.0 ",2846A641002B67E3676EA04616CBC55A9EF79911C15A11DC4886C6042A87DD59
Version 2.051 Issued on 21-09-2022,10,Current,Communications Hub,1086,5432,20,52,54322052,000A7200,"CHTS V1.0 ","GBCS Version 1.0 ",2846A641002B67E3676EA04616CBC55A9EF79911C15A11DC4886C6042A87DD59
Version 2.051 Issued on 21-09-2022,11,Current,Communications Hub,1086,5434,21,52,54342152,000A7200,"CHTS V1.0 ","GBCS Version 1.0 ",2846A641002B67E3676EA04616CBC55A9EF79911C15A11DC4886C6042A87DD59
